model-1584439913,1584439917.537,0.59,0.2468,0.65,0.242,0
model-1584439913,1584439917.581,0.42,0.2512,0.65,0.242,0
model-1584439913,1584439917.629,0.51,0.2455,0.64,0.242,0
model-1584439913,1584439917.675,0.48,0.2484,0.62,0.2421,0
model-1584439913,1584439917.725,0.61,0.2427,0.63,0.2416,0
model-1584439913,1584439917.773,0.64,0.2428,0.64,0.2407,0
model-1584439913,1584439917.817,0.58,0.2454,0.64,0.2394,0
model-1584439913,1584439917.861,0.64,0.2455,0.64,0.2379,0
model-1584439913,1584439917.911,0.56,0.2436,0.65,0.2366,0
model-1584439913,1584439917.957,0.5,0.2528,0.66,0.236,0
model-1584439913,1584439918.003,0.52,0.2452,0.65,0.2354,0
model-1584439913,1584439918.051,0.55,0.2417,0.65,0.2348,0
model-1584439913,1584439918.095,0.57,0.2467,0.64,0.2343,0
model-1584439913,1584439918.14,0.55,0.2403,0.65,0.2335,0
model-1584439913,1584439918.188,0.55,0.2472,0.65,0.2331,0
model-1584439913,1584439918.233,0.47,0.253,0.64,0.2336,0
model-1584439913,1584439918.277,0.49,0.2466,0.65,0.2341,0
model-1584439913,1584439918.325,0.53,0.2459,0.65,0.2349,0
model-1584439913,1584439918.37,0.53,0.2457,0.65,0.2362,0
model-1584439913,1584439918.416,0.59,0.2437,0.61,0.2374,0
model-1584439913,1584439918.464,0.52,0.252,0.61,0.2384,0
model-1584439913,1584439918.51,0.57,0.2463,0.61,0.2386,0
model-1584439913,1584439918.555,0.56,0.2534,0.6,0.2386,0
model-1584439913,1584439918.602,0.52,0.2561,0.64,0.2387,0
model-1584439913,1584439918.65,0.51,0.2481,0.63,0.2394,0
model-1584439913,1584439918.696,0.59,0.2471,0.64,0.2399,0
model-1584439913,1584439918.749,0.56,0.2484,0.65,0.2406,0
model-1584439913,1584439918.795,0.57,0.2426,0.64,0.2409,0
model-1584439913,1584439918.839,0.52,0.2472,0.62,0.241,0
